total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state,county,tract,GEOID
3324.0,2333.0,104.0,478.0,250.0,06,001,400100,06001400100
2038.0,1446.0,48.0,197.0,152.0,06,001,400200,06001400200
5449.0,3257.0,530.0,640.0,545.0,06,001,400300,06001400300
4384.0,2907.0,343.0,356.0,416.0,06,001,400400,06001400400
4048.0,1772.0,1042.0,417.0,484.0,06,001,400500,06001400500
1957.0,823.0,524.0,145.0,147.0,06,001,400600,06001400600
5150.0,2189.0,1241.0,436.0,808.0,06,001,400700,06001400700
4042.0,2040.0,737.0,660.0,250.0,06,001,400800,06001400800
3056.0,1092.0,926.0,126.0,552.0,06,001,400900,06001400900
6185.0,2084.0,1397.0,424.0,1477.0,06,001,401000,06001401000
5204.0,2354.0,917.0,914.0,370.0,06,001,401100,06001401100
2800.0,1678.0,286.0,295.0,349.0,06,001,401200,06001401200
4074.0,1621.0,874.0,847.0,347.0,06,001,401300,06001401300
5044.0,1281.0,1354.0,712.0,1166.0,06,001,401400,06001401400
3083.0,885.0,1594.0,115.0,295.0,06,001,401500,06001401500
2419.0,447.0,727.0,241.0,830.0,06,001,401600,06001401600
3379.0,1212.0,742.0,453.0,732.0,06,001,401700,06001401700
1746.0,605.0,581.0,72.0,412.0,06,001,401800,06001401800
2489.0,753.0,833.0,337.0,420.0,06,001,402200,06001402200
2545.0,523.0,1279.0,300.0,222.0,06,001,402400,06001402400
1940.0,184.0,1016.0,381.0,250.0,06,001,402500,06001402500
1299.0,107.0,437.0,454.0,171.0,06,001,402600,06001402600
1988.0,579.0,712.0,313.0,300.0,06,001,402700,06001402700
3301.0,928.0,1230.0,582.0,214.0,06,001,402801,06001402801
1251.0,276.0,583.0,195.0,64.0,06,001,402802,06001402802
1638.0,367.0,271.0,736.0,174.0,06,001,402900,06001402900
2907.0,226.0,43.0,2373.0,35.0,06,001,403000,06001403000
2054.0,669.0,410.0,610.0,290.0,06,001,403100,06001403100
1950.0,254.0,47.0,1230.0,128.0,06,001,403301,06001403301
2279.0,1082.0,92.0,593.0,160.0,06,001,403302,06001403302
2882.0,1307.0,429.0,742.0,196.0,06,001,403401,06001403401
1197.0,405.0,217.0,258.0,118.0,06,001,403402,06001403402
4655.0,1731.0,904.0,1210.0,257.0,06,001,403501,06001403501
2008.0,830.0,417.0,219.0,363.0,06,001,403502,06001403502
5318.0,1892.0,1423.0,499.0,990.0,06,001,403600,06001403600
3025.0,1337.0,602.0,496.0,354.0,06,001,403701,06001403701
