total_pop,white_pop,black_pop,asian_pop,hispanic_pop,median_income,state,county,tract,GEOID,POC_pct
3324.0,2333.0,104.0,478.0,250.0,224821.0,06,001,400100,06001400100,29.813477737665462
2038.0,1446.0,48.0,197.0,152.0,201154.0,06,001,400200,06001400200,29.048086359175663
5449.0,3257.0,530.0,640.0,545.0,127333.0,06,001,400300,06001400300,40.22756469076894
4384.0,2907.0,343.0,356.0,416.0,146265.0,06,001,400400,06001400400,33.69069343065693
4048.0,1772.0,1042.0,417.0,484.0,101597.0,06,001,400500,06001400500,56.22529644268774
1957.0,823.0,524.0,145.0,147.0,153527.0,06,001,400600,06001400600,57.94583546244252
5150.0,2189.0,1241.0,436.0,808.0,105466.0,06,001,400700,06001400700,57.495145631067956
4042.0,2040.0,737.0,660.0,250.0,84207.0,06,001,400800,06001400800,49.52993567540822
3056.0,1092.0,926.0,126.0,552.0,97125.0,06,001,400900,06001400900,64.26701570680629
6185.0,2084.0,1397.0,424.0,1477.0,128200.0,06,001,401000,06001401000,66.3055780113177
5204.0,2354.0,917.0,914.0,370.0,85994.0,06,001,401100,06001401100,54.76556495003844
2800.0,1678.0,286.0,295.0,349.0,103824.0,06,001,401200,06001401200,40.07142857142857
4074.0,1621.0,874.0,847.0,347.0,91225.0,06,001,401300,06001401300,60.21109474717722
5044.0,1281.0,1354.0,712.0,1166.0,85150.0,06,001,401400,06001401400,74.60348929421095
3083.0,885.0,1594.0,115.0,295.0,74167.0,06,001,401500,06001401500,71.29419396691534
2419.0,447.0,727.0,241.0,830.0,71154.0,06,001,401600,06001401600,81.52128978916909
3379.0,1212.0,742.0,453.0,732.0,126728.0,06,001,401700,06001401700,64.13139982243268
1746.0,605.0,581.0,72.0,412.0,64304.0,06,001,401800,06001401800,65.34936998854525
2489.0,753.0,833.0,337.0,420.0,106125.0,06,001,402200,06001402200,69.74688629971875
2545.0,523.0,1279.0,300.0,222.0,28547.0,06,001,402400,06001402400,79.4499017681729
1940.0,184.0,1016.0,381.0,250.0,30074.0,06,001,402500,06001402500,90.51546391752578
