tract,num_alpr_cameras,median_income,state,county
010101,1,78661.0,06,075
010202,3,192500.0,06,075
010701,1,22345.0,06,075
010902,1,126334.0,06,075
012405,3,116612.0,06,075
012602,3,173043.0,06,075
012801,2,219784.0,06,075
012802,2,250001.0,06,075
013002,1,192742.0,06,075
015401,1,121250.0,06,075
015500,2,90938.0,06,075
015701,1,126754.0,06,075
015702,1,194231.0,06,075
015900,2,115635.0,06,075
016400,2,185357.0,06,075
016601,1,164938.0,06,075
016802,3,88210.0,06,075
017000,1,229476.0,06,075
017602,2,52668.0,06,075
017604,1,108004.0,06,075
017700,9,147986.0,06,075
017801,4,30030.0,06,075
017803,3,-666666666.0,06,075
017804,2,125475.0,06,075
017903,4,83077.0,06,075
018000,15,170536.0,06,075
020101,3,98678.0,06,075
020102,1,-666666666.0,06,075
020201,2,121723.0,06,075
020401,1,161103.0,06,075
020500,1,237344.0,06,075
020601,2,147091.0,06,075
020702,2,128250.0,06,075
020801,1,90779.0,06,075
020900,3,119405.0,06,075
021400,1,194167.0,06,075
021700,1,146285.0,06,075
021800,1,191920.0,06,075
022600,3,227782.0,06,075
022702,1,221061.0,06,075
022801,1,158750.0,06,075
022802,1,113958.0,06,075
022903,2,148500.0,06,075
023001,4,79091.0,06,075
023003,1,133458.0,06,075
023102,5,41434.0,06,075
023103,4,27946.0,06,075
023200,4,107833.0,06,075
023300,4,67279.0,06,075
025100,3,151429.0,06,075
025300,2,156741.0,06,075
025401,1,154583.0,06,075
025402,3,167300.0,06,075
025403,1,146354.0,06,075
025502,3,166486.0,06,075
025600,2,115000.0,06,075
025702,1,97717.0,06,075
025800,1,80682.0,06,075
026201,3,115417.0,06,075
026302,1,87228.0,06,075
026402,2,115117.0,06,075
026403,1,74792.0,06,075
026404,1,76000.0,06,075
030102,2,183272.0,06,075
030202,3,121831.0,06,075
030302,1,176364.0,06,075
030400,1,127632.0,06,075
030500,1,162218.0,06,075
030600,2,200625.0,06,075
030800,5,171250.0,06,075
030900,5,166757.0,06,075
031100,3,162348.0,06,075
031301,1,94740.0,06,075
031302,1,113304.0,06,075
031401,1,91806.0,06,075
032801,1,124840.0,06,075
032802,1,118542.0,06,075
032901,1,139526.0,06,075
033002,2,202737.0,06,075
033100,1,150500.0,06,075
033201,2,58750.0,06,075
033203,3,54854.0,06,075
035201,1,118902.0,06,075
035202,2,93622.0,06,075
035400,1,122050.0,06,075
040200,1,140227.0,06,075
042700,1,106387.0,06,075
047600,2,141544.0,06,075
047802,2,101722.0,06,075
047902,1,132583.0,06,075
060100,1,218898.0,06,075
060400,4,80733.0,06,075
060502,1,34896.0,06,075
060701,4,165718.0,06,075
060702,2,-666666666.0,06,075
060703,1,183168.0,06,075
061000,5,89125.0,06,075
061200,5,89063.0,06,075
061402,3,160823.0,06,075
061501,2,250001.0,06,075
061503,1,204620.0,06,075
061507,1,93466.0,06,075
980300,6,149688.0,06,075
980900,12,137750.0,06,075
