total_pop,white_pop,black_pop,asian_pop,hispanic_pop,median_income,state,county,tract,GEOID,POC_pct
2118.0,709.0,95.0,1021.0,159.0,78661.0,06,075,010101,06075010101,66.52502360717658
1783.0,384.0,300.0,814.0,250.0,-666666666.0,06,075,010102,06075010102,78.46326416152552
2499.0,1890.0,201.0,168.0,155.0,159647.0,06,075,010201,06075010201,24.369747899159663
1891.0,1440.0,53.0,223.0,1.0,192500.0,06,075,010202,06075010202,23.84981491274458
3996.0,2631.0,0.0,1049.0,253.0,136643.0,06,075,010300,06075010300,34.15915915915916
2202.0,1187.0,12.0,458.0,401.0,115170.0,06,075,010401,06075010401,46.094459582198
2292.0,1436.0,0.0,486.0,162.0,176192.0,06,075,010402,06075010402,37.347294938917976
3430.0,1722.0,162.0,1229.0,138.0,155769.0,06,075,010500,06075010500,49.795918367346935
3277.0,1067.0,104.0,1751.0,238.0,68235.0,06,075,010600,06075010600,67.43973146170278
3458.0,86.0,0.0,3335.0,32.0,22345.0,06,075,010701,06075010701,97.51301330248698
1584.0,448.0,0.0,796.0,203.0,73542.0,06,075,010702,06075010702,71.71717171717171
4999.0,2455.0,272.0,1809.0,195.0,133958.0,06,075,010800,06075010800,50.89017803560713
1948.0,1232.0,0.0,378.0,255.0,154767.0,06,075,010901,06075010901,36.75564681724846
2403.0,1562.0,34.0,448.0,218.0,126334.0,06,075,010902,06075010902,34.99791926758219
2628.0,1360.0,23.0,1089.0,156.0,117011.0,06,075,011001,06075011001,48.24961948249619
2249.0,1193.0,0.0,863.0,91.0,128661.0,06,075,011002,06075011002,46.954201867496664
2528.0,1225.0,42.0,935.0,228.0,112162.0,06,075,011101,06075011101,51.54272151898734
2024.0,881.0,142.0,775.0,111.0,100707.0,06,075,011102,06075011102,56.47233201581028
3120.0,1796.0,129.0,876.0,168.0,146951.0,06,075,011200,06075011200,42.43589743589744
2801.0,365.0,52.0,2224.0,104.0,36382.0,06,075,011300,06075011300,86.96893966440557
1800.0,666.0,56.0,723.0,153.0,78558.0,06,075,011700,06075011700,63.0
1658.0,140.0,17.0,1403.0,20.0,40321.0,06,075,011800,06075011800,91.55609167671895
2298.0,1077.0,59.0,749.0,266.0,109934.0,06,075,011901,06075011901,53.13315926892951
2771.0,1442.0,45.0,918.0,204.0,76156.0,06,075,011902,06075011902,47.96102490075785
1834.0,768.0,20.0,410.0,391.0,68811.0,06,075,012001,06075012001,58.12431842966193
2202.0,845.0,198.0,641.0,426.0,63016.0,06,075,012002,06075012002,61.62579473206177
3846.0,1792.0,158.0,1172.0,479.0,89063.0,06,075,012100,06075012100,53.40613624544982
2821.0,1015.0,369.0,817.0,354.0,43750.0,06,075,012202,06075012202,64.01985111662532
1834.0,1004.0,174.0,327.0,200.0,-666666666.0,06,075,012203,06075012203,45.25627044711014
2763.0,1130.0,0.0,924.0,619.0,58004.0,06,075,012204,06075012204,59.10242490047051
1887.0,555.0,125.0,630.0,508.0,26406.0,06,075,012301,06075012301,70.58823529411765
2600.0,1142.0,184.0,680.0,373.0,47807.0,06,075,012302,06075012302,56.07692307692308
2591.0,402.0,162.0,1192.0,620.0,37800.0,06,075,012403,06075012403,84.48475492087996
2566.0,712.0,281.0,650.0,852.0,25865.0,06,075,012404,06075012404,72.25253312548713
3817.0,1352.0,530.0,886.0,628.0,116612.0,06,075,012405,06075012405,64.57951270631386
1463.0,460.0,112.0,634.0,172.0,30972.0,06,075,012406,06075012406,68.55775803144223
4371.0,747.0,352.0,1287.0,1549.0,25754.0,06,075,012502,06075012502,82.91008922443378
3788.0,813.0,193.0,1383.0,1261.0,35033.0,06,075,012503,06075012503,78.53748680042239
617.0,82.0,51.0,357.0,127.0,22671.0,06,075,012504,06075012504,86.709886547812
2241.0,1494.0,20.0,322.0,220.0,165893.0,06,075,012601,06075012601,33.33333333333333
2977.0,2370.0,0.0,291.0,119.0,173043.0,06,075,012602,06075012602,20.389654014108164
4046.0,3129.0,33.0,292.0,345.0,216689.0,06,075,012700,06075012700,22.664359861591695
2791.0,2056.0,0.0,192.0,501.0,219784.0,06,075,012801,06075012801,26.334647079899675
2012.0,1498.0,4.0,67.0,384.0,250001.0,06,075,012802,06075012802,25.54671968190855
2823.0,1920.0,1.0,391.0,337.0,205375.0,06,075,012901,06075012901,31.987247608926673
3545.0,2709.0,34.0,345.0,138.0,178542.0,06,075,012902,06075012902,23.582510578279265
1758.0,1533.0,0.0,147.0,78.0,170250.0,06,075,013001,06075013001,12.798634812286688
2800.0,2062.0,0.0,250.0,193.0,192742.0,06,075,013002,06075013002,26.357142857142858
4088.0,2582.0,108.0,1034.0,255.0,211765.0,06,075,013101,06075013101,36.83953033268102
2951.0,1873.0,65.0,432.0,353.0,224125.0,06,075,013102,06075013102,36.52998983395459
4456.0,2945.0,150.0,936.0,219.0,199412.0,06,075,013200,06075013200,33.909335727109514
4483.0,3338.0,23.0,517.0,371.0,169392.0,06,075,013300,06075013300,25.540932411331696
1516.0,852.0,4.0,186.0,232.0,183562.0,06,075,013401,06075013401,43.79947229551451
2239.0,1827.0,135.0,86.0,129.0,175188.0,06,075,013402,06075013402,18.401071907101386
2449.0,1662.0,6.0,371.0,298.0,157344.0,06,075,013500,06075013500,32.135565536953855
2817.0,1306.0,88.0,1026.0,250.0,135859.0,06,075,015100,06075015100,53.63862264820731
1713.0,971.0,36.0,531.0,117.0,74080.0,06,075,015201,06075015201,43.3158201984822
2277.0,1105.0,432.0,433.0,190.0,142098.0,06,075,015202,06075015202,51.47123407992973
2206.0,1286.0,215.0,268.0,328.0,163286.0,06,075,015300,06075015300,41.704442429737085
3349.0,1584.0,14.0,1202.0,233.0,121250.0,06,075,015401,06075015401,52.702299193789194
2643.0,1814.0,0.0,375.0,387.0,195078.0,06,075,015402,06075015402,31.36587211502081
3666.0,1511.0,170.0,1083.0,482.0,90938.0,06,075,015500,06075015500,58.783415166393894
2923.0,1032.0,128.0,1111.0,439.0,78750.0,06,075,015600,06075015600,64.69380773178241
5327.0,2224.0,237.0,1732.0,870.0,126754.0,06,075,015701,06075015701,58.250422376572175
3435.0,1885.0,68.0,256.0,252.0,194231.0,06,075,015702,06075015702,45.12372634643377
3406.0,1329.0,866.0,779.0,318.0,108447.0,06,075,015801,06075015801,60.98062243100411
3589.0,1966.0,297.0,397.0,486.0,138906.0,06,075,015802,06075015802,45.22151016996378
4829.0,1574.0,499.0,1716.0,615.0,115635.0,06,075,015900,06075015900,67.4052598881756
2498.0,995.0,147.0,703.0,225.0,119219.0,06,075,016000,06075016000,60.168134507606084
2295.0,844.0,281.0,855.0,179.0,23750.0,06,075,016101,06075016101,63.22440087145969
2555.0,295.0,1279.0,542.0,345.0,22542.0,06,075,016102,06075016102,88.45401174168298
3365.0,1710.0,150.0,965.0,336.0,147429.0,06,075,016200,06075016200,49.18276374442793
4423.0,2240.0,704.0,411.0,679.0,122141.0,06,075,016300,06075016300,49.355640967669004
4262.0,2706.0,248.0,404.0,661.0,185357.0,06,075,016400,06075016400,36.50868137024871
5279.0,3343.0,404.0,554.0,652.0,161974.0,06,075,016500,06075016500,36.673612426595945
3180.0,2364.0,101.0,279.0,145.0,164938.0,06,075,016601,06075016601,25.660377358490567
2498.0,1814.0,236.0,281.0,43.0,193073.0,06,075,016602,06075016602,27.381905524419537
5427.0,3925.0,252.0,692.0,333.0,218466.0,06,075,016700,06075016700,27.676432651557032
4243.0,2387.0,202.0,773.0,521.0,175658.0,06,075,016801,06075016801,43.7426349281169
3709.0,1721.0,401.0,797.0,443.0,88210.0,06,075,016802,06075016802,53.5993529253168
3132.0,2035.0,58.0,460.0,341.0,138542.0,06,075,016900,06075016900,35.02554278416347
4375.0,3061.0,91.0,542.0,281.0,229476.0,06,075,017000,06075017000,30.034285714285712
4249.0,3124.0,91.0,548.0,150.0,182663.0,06,075,017101,06075017101,26.47681807484114
3671.0,2601.0,56.0,225.0,574.0,174375.0,06,075,017102,06075017102,29.147371288477252
3218.0,767.0,713.0,1433.0,64.0,52668.0,06,075,017602,06075017602,76.16532007458049
4509.0,1189.0,254.0,2268.0,598.0,74389.0,06,075,017603,06075017603,73.6305167442892
2856.0,432.0,680.0,1120.0,478.0,108004.0,06,075,017604,06075017604,84.87394957983193
1989.0,703.0,25.0,391.0,786.0,147986.0,06,075,017700,06075017700,64.65560583207642
3636.0,781.0,94.0,2317.0,271.0,30030.0,06,075,017801,06075017801,78.52035203520352
2507.0,777.0,29.0,1122.0,413.0,-666666666.0,06,075,017803,06075017803,69.00678101316315
4474.0,1287.0,42.0,1828.0,1206.0,125475.0,06,075,017804,06075017804,71.23379526151096
3185.0,1074.0,584.0,289.0,865.0,83077.0,06,075,017903,06075017903,66.27943485086341
3772.0,1446.0,317.0,930.0,844.0,170536.0,06,075,018000,06075018000,61.66489925768823
3550.0,1351.0,315.0,469.0,1241.0,98678.0,06,075,020101,06075020101,61.94366197183099
2941.0,1137.0,277.0,705.0,693.0,-666666666.0,06,075,020102,06075020102,61.33968038082285
2168.0,990.0,104.0,349.0,580.0,121723.0,06,075,020201,06075020201,54.33579335793358
4132.0,1904.0,306.0,584.0,837.0,135450.0,06,075,020202,06075020202,53.92061955469506
