total_pop,white_pop,black_pop,asian_pop,hispanic_pop,median_income,state,county,tract,GEOID,POC_pct
5188.0,1965.0,62.0,1742.0,1269.0,129542.0,06,081,600100,06081600100,62.12413261372398
4183.0,120.0,162.0,2301.0,1065.0,96250.0,06,081,600200,06081600200,97.13124551757112
4657.0,985.0,199.0,2733.0,581.0,161838.0,06,081,600300,06081600300,78.84904444921624
3396.0,381.0,494.0,1797.0,491.0,139000.0,06,081,600401,06081600401,88.78091872791519
4125.0,339.0,7.0,2173.0,1215.0,123824.0,06,081,600402,06081600402,91.78181818181818
4323.0,343.0,0.0,1921.0,2059.0,-666666666.0,06,081,600501,06081600501,92.06569511913023
4024.0,135.0,0.0,2527.0,1354.0,116360.0,06,081,600502,06081600502,96.64512922465208
5115.0,201.0,93.0,2887.0,1777.0,93601.0,06,081,600600,06081600600,96.07038123167155
4276.0,483.0,143.0,1852.0,1633.0,66030.0,06,081,600701,06081600701,88.7043966323667
2531.0,508.0,6.0,1694.0,323.0,126914.0,06,081,600702,06081600702,79.92888186487555
7979.0,1356.0,266.0,3848.0,2190.0,74415.0,06,081,600800,06081600800,83.00538914650959
4044.0,1294.0,0.0,1815.0,538.0,121688.0,06,081,600900,06081600900,68.00197823936696
7783.0,944.0,612.0,3516.0,1796.0,105341.0,06,081,601000,06081601000,87.87100089939612
6335.0,905.0,327.0,4146.0,667.0,140819.0,06,081,601100,06081601100,85.71428571428571
6774.0,1532.0,151.0,2883.0,1847.0,126797.0,06,081,601200,06081601200,77.3841157366401
3990.0,244.0,14.0,1401.0,2306.0,85391.0,06,081,601301,06081601301,93.88471177944862
4654.0,407.0,8.0,2313.0,1548.0,95158.0,06,081,601302,06081601302,91.25483455092393
6936.0,793.0,35.0,5013.0,818.0,101616.0,06,081,601400,06081601400,88.56689734717416
5200.0,382.0,373.0,3899.0,483.0,139200.0,06,081,601501,06081601501,92.65384615384616
5368.0,597.0,208.0,3268.0,1121.0,92353.0,06,081,601502,06081601502,88.8785394932936
2683.0,637.0,44.0,794.0,1075.0,95577.0,06,081,601601,06081601601,76.25792023853894
6183.0,623.0,203.0,4143.0,716.0,101130.0,06,081,601603,06081601603,89.92398512049166
2423.0,553.0,35.0,1374.0,346.0,104297.0,06,081,601604,06081601604,77.17705323978538
5729.0,367.0,136.0,4464.0,447.0,123819.0,06,081,601605,06081601605,93.59399546168616
4392.0,1270.0,49.0,1900.0,1048.0,173961.0,06,081,601700,06081601700,71.08378870673953
6247.0,1954.0,114.0,2784.0,1225.0,113158.0,06,081,601800,06081601800,68.72098607331519
4071.0,1085.0,52.0,1511.0,1275.0,96763.0,06,081,601901,06081601901,73.34807172684845
5839.0,1707.0,43.0,2936.0,1136.0,104977.0,06,081,601902,06081601902,70.7655420448707
4068.0,1167.0,39.0,1667.0,1135.0,115104.0,06,081,602001,06081602001,71.3126843657817
4067.0,538.0,0.0,1823.0,1632.0,144803.0,06,081,602002,06081602002,86.77157610031965
3377.0,378.0,166.0,642.0,2051.0,70682.0,06,081,602100,06081602100,88.80663310630737
4874.0,1415.0,0.0,969.0,2296.0,83071.0,06,081,602201,06081602201,70.96840377513335
3155.0,217.0,39.0,819.0,2080.0,72000.0,06,081,602202,06081602202,93.12202852614897
4516.0,255.0,73.0,1633.0,1819.0,136707.0,06,081,602300,06081602300,94.35341009743135
7604.0,2371.0,212.0,3064.0,1660.0,120417.0,06,081,602400,06081602400,68.81904260915309
5388.0,727.0,299.0,3391.0,803.0,142122.0,06,081,602500,06081602500,86.50705270972531
4109.0,805.0,36.0,2646.0,425.0,145104.0,06,081,602601,06081602601,80.40885860306643
4311.0,319.0,70.0,2353.0,1200.0,165855.0,06,081,602602,06081602602,92.60032475063791
5925.0,1296.0,160.0,2789.0,1195.0,141080.0,06,081,602700,06081602700,78.12658227848101
4870.0,1191.0,163.0,1653.0,1401.0,143750.0,06,081,602800,06081602800,75.5441478439425
3727.0,1776.0,179.0,796.0,796.0,139519.0,06,081,602900,06081602900,52.34773276093373
4539.0,2569.0,150.0,506.0,825.0,134635.0,06,081,603000,06081603000,43.40163031504737
3326.0,1806.0,66.0,545.0,657.0,173385.0,06,081,603100,06081603100,45.70054119061936
3757.0,2865.0,0.0,232.0,589.0,138750.0,06,081,603200,06081603200,23.742347617780144
6686.0,4673.0,170.0,841.0,597.0,143017.0,06,081,603300,06081603300,30.107687705653603
5779.0,3755.0,0.0,556.0,1133.0,107393.0,06,081,603400,06081603400,35.02336044298321
5536.0,1845.0,76.0,2211.0,944.0,118607.0,06,081,603700,06081603700,66.67268786127167
