Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,testing question? (8vufenf),"Have you noticed surveillance technologies in your neighborhood that were installed by the government, police, or private businesses (not personal home cameras like Ring or Nest)? (lw3083d)",What is your ZIP code? (7bepp7b),participantID,assignmentID,projectID,startedAt,computerCountry,computerID,device,Which of the following surveillance tools have you heard of or seen in your city? (Select all that apply) (8dl9hmt),"How concerned are you about surveillance technology in public spaces like streets, sidewalks, or public transit? (n15scu9)",How often do you notice surveillance cameras or sensors in your neighborhood or daily routine? (6itkmu),How familiar are you with how automatic license plate reader (ALPR) cameras work? (724al0n),"After being approved by local governments, private companies like Flock Safety install Automatic License Plate Reader (ALPR) cameras in neighborhoods and share data with police. Before today, how aware were you of that fact? (50mnfkf)","In some Bay Area cities, Automatic License Plate Reader (ALPR) cameras store an image of your license plate, vehicle make and model, and location in a searchable database for up to 12 months every time you drive past one. Before today, how aware were you of that fact? (6s6r3ex)","Police can search the Automatic License Plate Reader (ALPR) database for your data without a warrant or approval from any other organization. Before today, how aware were you of that fact? (zke2ete)","Police can legally share your license plate Automatic License Plate Reader (ALPR) data with other local governments/police departments within California at any time without a warrant. Before today, how aware were you of that fact? (skzr4a8)","The image above shows locations and number of Automatic License Plate Reader (ALPR) cameras in the Bay Area reported by residents. Actual locations and counts may vary, but there is likely to be more installed than shown in the image. Before today, how aware were you of the number of ALPR cameras in the Bay Area? (3eg0nl6)",How supportive are you of Automatic License Plate Reader (ALPR) cameras installed by local governments and used by law enforcement? (y7ka0mc),How supportive are you of private individuals or businesses installing Automatic License Plate Reader (ALPR) cameras and sharing the data voluntarily with police? (uktyzgu),Have you ever felt uncomfortable or treated unfairly due to surveillance technology? (5bdjc2c),"veiHow concerned are you that surllance technologies may harm others (e.g., unhoused people, immigrants, protesters), even if they don’t affect you personally? (gvrrsub)",Do you believe surveillance is being used more for public safety or social control? (cfu4j56),Which of the following groups should have access to surveillance data? (Select all that apply) (bgnrn84),Who do you trust to make decisions about how surveillance is used in your city? (Select all that apply) (w02ux9i),How important is it to you that the public has input or oversight before new surveillance technologies are adopted? (ttzmqna),"How likely do you think it is that police would share Automatic License Plate Reader (ALPR) data with federal agencies, even if not legally allowed? (gnnu4ft)",It’s okay for police to track and store the location data of people who haven’t done anything wrong. (nd9oynf),"Surveillance technologies such as ALPRs disproportionately impact marginalized communities (e.g., by race, income, housing status, or immigration status)? (f1j1olu)",Surveillance technologies such as ALPRs increase public safety. (u84m4pd),What should be done about ALPRs in your city? Select all that apply (vwzlz5r),What is your race or ethnicity? (Select all that apply) (d8morv7),How did you find this survey? (yyxwhnl),age,gender,education,yearOfBirth,educationScore,politicalViews,householdIncome,femaleAs1MaleAs0,politicalLiberalness,householdIncomeScore,householdIncomeEstimate,How did surveillance make you feel or impact you? (urjiu1g),How concerned are you about local Automatic License Plate Reader (ALPR) data being shared with federal agencies like ICE or the FBI? (izclv6s),The San Francisco Standard recently reported that the San Francisco and Oakland Police Departments shared Automatic License Plate Reader (ALPR) data with federal agencies like ICE — in violation of state law. How concerned does this make you feel? (dgwct6r)
16180288,34,,2025-07-31 9:21:14,,5.62,7h99xur,0,,Yes,59901,pc08b1cf8,pb0567325,pffe2652f,2025/07/31 2:20 AM,United States,ba3bd667909e79c1be729c53c9642ac6098082f9,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,3 = Sometimes,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,5 = Fully aware,2 = Slightly aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,3 = Moderately concerned,3 = Equally both,"Police,Federal Government","Community organizations,Community members",3 = Moderately important,4 = Likely,2 = Somewhat disagree,4 = Somewhat agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",White,Episode,22,female,completedOnlyHighSchoolOrTheEquivalent,2003,2,Moderate,"$85,000 to $114,999",1,0,5,100000,,2 = Slightly concerned,
16180291,34,,2025-07-31 9:22:13,,3.93,7h99xur,0,,No,91803,pa376c666,pc0ee7509,pffe2652f,2025/07/31 2:20 AM,United States,e1aa0e8ed7491fba136b8aa20ea790746bf006dc,desktop,"Automatic License Plate Readers (ALPRs),Speed Cameras",3 = Moderately concerned,1 = Never,2 = Slightly familiar,1 = Not at all aware,3 = Somewhat aware,2 = Slightly aware,3 = Somewhat aware,1 = Not at all aware,2 = Somewhat oppose,3 = Neutral / Not sure,Yes,3 = Moderately concerned,4 = Mostly for social control,"Police,Local government,Federal Government",Police department,3 = Moderately important,2 = Unlikely,3 = Neutral,2 = Somewhat disagree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,quickrewards,35,female,completedBachelorsDegree,1990,5,Moderate,"$40,000 to $59,999",1,0,3,50000,no privacy,3 = Moderately concerned,
16180292,34,,2025-07-31 9:22:31,,3.43,7h99xur,0,,No,30180,pcf714afc,pf0e97ff0,pffe2652f,2025/07/31 2:20 AM,United States,88ad1a3dc55fad51c7ec04e75810f654980cc700,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,1 = Never,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,3 = Neutral / Not sure,No,3 = Moderately concerned,5 = Entirely for social control,No one — it shouldn’t be collected,"Local elected officials,Police department,Community organizations,Community members",3 = Moderately important,4 = Likely,2 = Somewhat disagree,3 = Neutral,2 = Somewhat disagree,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval,Keep things as they are",White,klover,23,female,completedBachelorsDegree,2002,5,Conservative,"$85,000 to $114,999",1,-1,5,100000,,3 = Moderately concerned,
16180296,34,,2025-07-31 9:22:46,,3.77,7h99xur,0,,Yes,68147,pcefc07bd,pb306b2e0,pffe2652f,2025/07/31 2:21 AM,United States,bf0acb9ece93e2dadeae3371b38deca1b5ae540f,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs)",3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Yes,4 = Very concerned,5 = Entirely for social control,No one — it shouldn’t be collected,"Community organizations,Community members",4 = Very important,1 = Very unlikely,1 = Strongly disagree,1 = Strongly disagree,3 = Neutral,"Ban them,Reduce use,Require public approval",White,Imvu,22,female,completedOnlyHighSchoolOrTheEquivalent,2003,2,Moderate,"$25,000 to $39,999",1,0,2,32500,It just makes me feel like they don't trust us,3 = Moderately concerned,
16180297,34,,2025-07-31 9:22:48,,3.85,7h99xur,0,,No,77506,pf9178409,pfbf53752,pffe2652f,2025/07/31 2:20 AM,United States,a4ff75334e7171bcf8650cadefe2c86a7b9298d3,smartphone,"Surveillance/security cameras,Drones,Facial recognition technology,Speed Cameras",1 = Not at all concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,3 = Moderately concerned,3 = Equally both,Police,Police department,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,3 = Neutral,3 = Neutral,"Require more transparency,Require public approval,More information",White,Pogo,43,female,completedTradeTechicalVocationalTraing,1982,3,Conservative,"$25,000 to $39,999",1,-1,2,32500,,1 = Not at all concerned,
16180300,34,,2025-07-31 9:23:24,,4.92,7h99xur,0,,No,15226,pa1a5d06a,pfbeea9ff,pffe2652f,2025/07/31 2:20 AM,United States,0fe98b57179a83793426c29e070332663a82a14e,smartphone,"Surveillance/security cameras,Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",1 = Not at all concerned,5 = All the time,4 = Very familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,1 = Not at all aware,3 = Neutral / Not sure,1 = Strongly oppose,No,1 = Not concerned at all,2 = Mostly for public safety,"Police,Local government,Federal Government",Police department,1 = Not important at all,4 = Likely,2 = Somewhat disagree,3 = Neutral,5 = Strongly agree,"Require more safeguards (e.g., limits on use, access, or retention)",White,Instagram,21,female,completedBachelorsDegree,2004,5,Moderate,"$60,000 to $84,999",1,0,4,72500,,1 = Not at all concerned,
16180301,34,,2025-07-31 9:23:24,,6.48,7h99xur,0,,No,77502,pd25b1411,pa04eb3e1,pffe2652f,2025/07/31 2:22 AM,United States,34ff86147814e5a206d7c7e5a3a3aa587b7a7750,smartphone,"Surveillance/security cameras,Speed Cameras",4 = Very concerned,2 = Rarely,2 = Slightly familiar,3 = Somewhat aware,2 = Slightly aware,3 = Somewhat aware,3 = Somewhat aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Yes,5 = Extremely concerned,5 = Entirely for social control,No one — it shouldn’t be collected,Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,1 = Strongly disagree,"Ban them,Reduce use",White,Dave online banking,35,male,completedOnlyHighSchoolOrTheEquivalent,1990,2,Moderate,"$10,000 to $24,999",0,0,1,17500,Makes me feel like a criminal and honestly we all are we just haven’t been caught yet. So many laws you can’t possibly be aware of all of them,5 = Extremely concerned,
16180302,34,,2025-07-31 9:23:31,,1.1,50mnfkf,0,,Yes,,pc4506a84,pbe121452,pffe2652f,2025/07/31 2:20 AM,United States,5e02b043fd9579af96f751ac78bc3fe6e968edd4,smartphone,"Surveillance/security cameras,Speed Cameras",5 = Extremely concerned,1 = Never,5 = Extremely familiar,,,,,,,,,,,,,,,,,,,,,44,female,completedTradeTechicalVocationalTraing,1981,3,Moderate,"Less than $9,999",1,0,0,4500,,,
16180305,34,,2025-07-31 9:23:53,,2.8,7h99xur,0,,Yes,43612,pac1a0c81,pb5e0b1fa,pffe2652f,2025/07/31 2:21 AM,United States,7bc1fb0895caf0071654c4ffb73b5c270b578df5,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),ShotSpotter or gunshot detection,Speed Cameras",2 = Slightly concerned,3 = Sometimes,2 = Slightly familiar,3 = Somewhat aware,2 = Slightly aware,4 = Very aware,3 = Somewhat aware,2 = Slightly aware,5 = Strongly support,4 = Somewhat support,No,3 = Moderately concerned,3 = Equally both,"Police,Federal Government","Local elected officials,Police department",3 = Moderately important,5 = Very likely,1 = Strongly disagree,2 = Somewhat disagree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Black or African American,Instagram,30,female,completedTradeTechicalVocationalTraing,1995,3,Moderate,"$25,000 to $39,999",1,0,2,32500,,4 = Very concerned,
16180310,34,,2025-07-31 9:24:09,,1.6,7h99xur,0,,Yes,40186,pb4e7cc40,pf58a44bb,pffe2652f,2025/07/31 2:22 AM,United States,6f17b59f6786326a640e64ac4e95fec313bc005d,smartphone,Speed Cameras,1 = Not at all concerned,3 = Sometimes,4 = Very familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,2 = Somewhat oppose,3 = Neutral / Not sure,Prefer not to say,5 = Extremely concerned,3 = Equally both,No one — it shouldn’t be collected,Community organizations,3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,Require public approval,White,episodw,35,male,completedDoctorateDegree,1990,8,Moderate,"$200,000 or more",0,0,8,225000,,3 = Moderately concerned,
